Workbook Name,Workbook ID,Start Time,End Time,Status,Job ID,Error Message
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-27 23:57:36,2026-04-27 23:58:49,Success,2e7b11de-5d53-449e-9996-0e6e839cdba1,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-04-27 23:58:49,2026-04-28 00:00:29,Success,544d9c5a-b795-4e93-a8f5-e18ed17f2fe0,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-28 23:53:04,2026-04-28 23:53:42,Success,4036cd39-91e7-4597-a010-afbceb59991a,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-28 23:53:42,2026-04-28 23:58:25,Success,fc76907a-22ac-4a59-b4d4-511bc0e5acc2,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-28 23:58:25,2026-04-28 23:59:39,Success,52fde6fd-e881-41bd-893e-df8a95c3fd6c,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-28 23:59:39,2026-04-29 00:01:21,Success,ce4378d4-b365-4b4d-b3fa-0a6a8a75e28b,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-29 00:01:21,2026-04-29 00:03:33,Success,caf0d8fb-ce27-44cd-bc20-fd5e7542bc64,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-04-29 00:03:33,2026-04-29 00:04:46,Success,f7352736-ee57-40cb-9fc4-6f6c3dfa5f31,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-29 23:52:01,2026-04-29 23:53:43,Success,78abb894-f3a7-4bdf-b46e-806b953a9d44,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-29 23:53:43,2026-04-29 23:58:26,Success,15780fa4-d63a-4dfc-8edc-e21123d933ee,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-29 23:58:26,2026-04-30 00:00:07,Success,09977c9d-8f3e-4d0f-b04b-7c78fa48a4aa,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-30 00:00:08,2026-04-30 00:02:20,Success,40cde706-2adf-405b-9c3a-465f33b5359f,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-30 00:02:20,2026-04-30 00:05:02,Success,97150e23-0f7a-47cb-80e1-59ab7a8c0a36,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-04-30 00:05:02,2026-04-30 00:07:45,Success,5c2e7838-b291-4d78-bd47-e893124e0a1f,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-30 23:49:51,2026-04-30 23:51:32,Success,9376a45b-ab94-4494-8b97-ecae0340cfda,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-30 23:51:32,2026-04-30 23:55:14,Success,f3fabaa7-1faa-442e-b947-db511122b620,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-30 23:55:14,2026-04-30 23:56:07,Success,38a92460-07a7-4872-95aa-919daaa837b4,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-30 23:56:07,2026-04-30 23:57:20,Success,e69a2fe9-92a9-44ee-a6ed-6e364555fe8c,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-30 23:57:20,2026-05-01 00:00:02,Success,030138a5-7f82-4fe9-a586-d4f0be16847b,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-01 00:00:02,2026-05-01 00:02:45,Success,daae3e91-d1f2-49f4-90c9-dd551f552140,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-05-01 23:47:32,2026-05-01 23:49:14,Success,d5d08173-077e-4790-b220-2a800ce83c7f,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-01 23:49:14,2026-05-01 23:53:27,Success,4c898538-3b05-49db-9caa-4b8f48fb49ff,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-01 23:53:27,2026-05-01 23:54:41,Success,420abd11-d98c-41e4-9d1d-bd2bdbcdcca6,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-01 23:54:41,2026-05-01 23:55:54,Success,5e1285ce-e68b-445a-91c0-83bc03896821,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-01 23:55:54,2026-05-01 23:57:07,Success,de85ef26-c3f8-4791-a5e9-2232ab705807,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-01 23:57:07,2026-05-01 23:58:20,Success,7de9a2dd-8864-49bf-a33f-be929432557a,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-05-02 23:39:14,2026-05-02 23:40:06,Success,d9652d93-64a7-44ab-acc5-c0aebdefb026,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-02 23:40:06,2026-05-02 23:44:18,Success,9b642414-363c-4cd0-9967-a1ff1984b58b,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-02 23:44:18,2026-05-02 23:44:56,Success,f99ac1bd-3b91-45e7-8e1e-3963910afbc9,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-02 23:44:56,2026-05-02 23:46:37,Success,96984c9e-2511-48e8-a7ff-fbab171bce4d,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-02 23:46:37,2026-05-02 23:48:48,Success,8b3450d3-5b8e-4c8c-b06d-4772b6d8468b,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-02 23:48:48,2026-05-02 23:50:29,Success,2b3ff0a8-599a-43aa-bc02-cacf2e7153ea,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-05-03 23:40:26,2026-05-03 23:41:18,Success,50d702ab-0484-4d20-ae47-c43ac633b23d,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-03 23:41:18,2026-05-03 23:45:00,Success,59d675e3-6775-4629-b6d4-348957e806a7,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-03 23:45:00,2026-05-03 23:46:41,Success,6d9efbcf-4eda-4b42-b09c-bfac8a476b50,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-03 23:46:41,2026-05-03 23:47:54,Success,da12c56c-27fb-4095-b3b2-6caeab799822,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-03 23:47:54,2026-05-03 23:48:46,Success,398b657c-1080-4b46-ae04-af2bcd56153c,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-03 23:48:46,2026-05-03 23:49:59,Success,295bfe64-dbec-4836-b046-d1a2bfd8d08c,
Google Trend,176b0932-aeec-42c1-860b-fad8dbe5fd9c,2026-05-03 23:49:59,2026-05-03 23:51:11,Failed,N/A,Job c9f9193d-c8e2-4240-b4c3-596bd65cd02d failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-05-04 23:51:26,2026-05-04 23:52:19,Success,eb5948b7-d0b9-4aa7-8407-6b6c9ff8cb81,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-04 23:52:19,2026-05-04 23:56:01,Success,91d4db19-b589-4f93-9836-71406c80062f,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-04 23:56:01,2026-05-04 23:56:39,Success,33e1cf3a-db1c-439e-bfc1-31e4bd57f4de,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-04 23:56:39,2026-05-04 23:58:21,Success,92bed721-18e8-460c-8aa7-c74b3114d433,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-04 23:58:21,2026-05-05 00:00:02,Success,d4d09d2f-f4f7-4db0-a505-192c74990a07,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-05 00:00:02,2026-05-05 00:02:15,Success,6a1dbd90-9f28-425e-8e1d-e3b01c48c3bb,
Google Trend,176b0932-aeec-42c1-860b-fad8dbe5fd9c,2026-05-05 00:02:15,2026-05-05 00:02:53,Failed,N/A,Job ea52f86c-f3be-4d1c-95b9-f29cfa4f0521 failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-05 23:44:11,2026-05-05 23:48:24,Success,edf1d834-78ef-4134-86c1-97cde9edd8b8,
